Source,Target,Type,Weight
51,38,Undirected,8
38,11,Undirected,24
38,40,Undirected,15
40,11,Undirected,17
76,68,Undirected,3
38,23,Undirected,5
40,23,Undirected,6
11,23,Undirected,4
51,23,Undirected,4
40,51,Undirected,17
11,51,Undirected,6
51,59,Undirected,6
38,59,Undirected,14
40,61,Undirected,2
46,52,Undirected,2
40,46,Undirected,2
40,52,Undirected,2
40,31,Undirected,1
38,58,Undirected,3
38,69,Undirected,3
38,13,Undirected,3
38,8,Undirected,3
38,60,Undirected,3
38,44,Undirected,3
38,48,Undirected,3
38,31,Undirected,3
58,69,Undirected,7
58,13,Undirected,7
58,8,Undirected,7
58,60,Undirected,7
58,44,Undirected,7
58,48,Undirected,7
69,13,Undirected,7
69,8,Undirected,7
69,60,Undirected,7
69,44,Undirected,7
69,48,Undirected,7
13,8,Undirected,7
13,60,Undirected,7
13,44,Undirected,7
13,48,Undirected,7
8,60,Undirected,7
8,44,Undirected,7
8,48,Undirected,7
60,44,Undirected,7
60,48,Undirected,7
44,48,Undirected,7
31,58,Undirected,5
31,69,Undirected,5
31,13,Undirected,5
31,8,Undirected,5
31,60,Undirected,5
31,44,Undirected,5
31,48,Undirected,5
46,38,Undirected,1
40,55,Undirected,1
49,63,Undirected,4
49,38,Undirected,3
38,63,Undirected,5
38,25,Undirected,1
63,25,Undirected,1
40,49,Undirected,5
40,19,Undirected,2
49,19,Undirected,2
10,49,Undirected,3
10,40,Undirected,2
10,30,Undirected,4
10,64,Undirected,2
10,42,Undirected,2
10,80,Undirected,2
49,30,Undirected,5
49,64,Undirected,3
49,42,Undirected,3
49,80,Undirected,3
30,64,Undirected,3
30,40,Undirected,3
30,42,Undirected,3
30,80,Undirected,3
40,64,Undirected,1
40,42,Undirected,1
40,80,Undirected,1
64,42,Undirected,4
64,80,Undirected,4
42,80,Undirected,4
49,11,Undirected,5
11,30,Undirected,6
11,10,Undirected,2
11,42,Undirected,3
11,64,Undirected,3
11,80,Undirected,3
11,19,Undirected,2
11,63,Undirected,1
19,30,Undirected,1
19,10,Undirected,1
51,75,Undirected,5
40,76,Undirected,1
40,68,Undirected,1
46,31,Undirected,1
11,58,Undirected,3
11,8,Undirected,3
11,69,Undirected,3
11,13,Undirected,3
11,60,Undirected,3
11,44,Undirected,3
11,48,Undirected,3
11,31,Undirected,3
11,35,Undirected,3
11,52,Undirected,1
35,31,Undirected,2
35,58,Undirected,2
35,69,Undirected,2
35,13,Undirected,2
35,8,Undirected,2
35,60,Undirected,2
35,44,Undirected,2
35,48,Undirected,2
38,55,Undirected,1
38,34,Undirected,4
38,9,Undirected,4
38,21,Undirected,4
55,34,Undirected,1
55,9,Undirected,1
55,21,Undirected,1
34,9,Undirected,6
34,21,Undirected,6
9,21,Undirected,6
65,55,Undirected,2
38,61,Undirected,2
34,61,Undirected,2
9,61,Undirected,2
21,61,Undirected,2
11,61,Undirected,3
65,11,Undirected,2
65,34,Undirected,2
65,9,Undirected,2
65,21,Undirected,2
11,34,Undirected,2
11,9,Undirected,2
11,21,Undirected,2
65,61,Undirected,1
38,76,Undirected,7
59,76,Undirected,5
41,38,Undirected,1
41,16,Undirected,1
41,17,Undirected,1
38,16,Undirected,1
38,17,Undirected,2
16,17,Undirected,1
40,50,Undirected,2
38,18,Undirected,1
38,50,Undirected,1
11,18,Undirected,1
11,72,Undirected,2
11,76,Undirected,8
72,76,Undirected,1
11,28,Undirected,1
72,28,Undirected,1
38,26,Undirected,2
26,17,Undirected,1
11,50,Undirected,1
40,75,Undirected,2
11,59,Undirected,8
38,73,Undirected,1
38,14,Undirected,1
73,14,Undirected,1
40,6,Undirected,3
40,15,Undirected,1
40,27,Undirected,3
40,3,Undirected,3
6,15,Undirected,2
6,27,Undirected,4
6,3,Undirected,4
15,27,Undirected,1
15,3,Undirected,1
27,3,Undirected,4
40,4,Undirected,2
6,4,Undirected,5
27,4,Undirected,3
3,4,Undirected,3
38,1,Undirected,5
38,70,Undirected,7
38,54,Undirected,4
1,70,Undirected,8
1,54,Undirected,5
70,54,Undirected,5
40,70,Undirected,2
40,1,Undirected,1
40,53,Undirected,3
53,54,Undirected,4
40,54,Undirected,3
11,1,Undirected,2
11,70,Undirected,3
11,54,Undirected,6
11,53,Undirected,2
38,4,Undirected,2
38,6,Undirected,2
38,57,Undirected,2
38,66,Undirected,2
38,74,Undirected,2
4,57,Undirected,3
4,66,Undirected,3
4,74,Undirected,3
6,57,Undirected,3
