Source,Target,Type,Weight
37,74,Undirected,2
37,35,Undirected,2
37,84,Undirected,2
74,35,Undirected,1
74,84,Undirected,1
35,84,Undirected,1
37,76,Undirected,18
37,4,Undirected,23
76,4,Undirected,10
25,56,Undirected,112
25,6,Undirected,3
25,3,Undirected,3
56,6,Undirected,3
56,3,Undirected,3
6,3,Undirected,3
37,82,Undirected,5
25,66,Undirected,5
56,66,Undirected,5
6,66,Undirected,2
3,66,Undirected,2
56,86,Undirected,1
56,38,Undirected,1
56,73,Undirected,3
25,86,Undirected,1
25,38,Undirected,1
25,73,Undirected,3
66,86,Undirected,1
66,38,Undirected,1
66,73,Undirected,1
86,38,Undirected,1
86,73,Undirected,1
86,6,Undirected,1
86,3,Undirected,1
38,73,Undirected,1
38,6,Undirected,1
38,3,Undirected,1
73,6,Undirected,1
73,3,Undirected,1
73,37,Undirected,2
37,24,Undirected,7
37,39,Undirected,6
24,39,Undirected,6
25,46,Undirected,5
56,46,Undirected,5
37,46,Undirected,3
37,56,Undirected,102
37,25,Undirected,102
24,46,Undirected,3
24,56,Undirected,4
24,25,Undirected,4
39,46,Undirected,3
39,56,Undirected,4
39,25,Undirected,4
30,33,Undirected,1
30,21,Undirected,1
30,67,Undirected,2
30,29,Undirected,1
30,87,Undirected,3
33,21,Undirected,1
33,67,Undirected,1
33,29,Undirected,2
33,87,Undirected,4
21,67,Undirected,1
21,29,Undirected,1
21,87,Undirected,1
67,29,Undirected,1
67,87,Undirected,2
29,87,Undirected,2
37,5,Undirected,2
56,5,Undirected,2
25,5,Undirected,2
37,55,Undirected,1
56,55,Undirected,1
25,55,Undirected,1
48,5,Undirected,1
48,37,Undirected,2
48,56,Undirected,2
48,25,Undirected,2
48,19,Undirected,1
5,19,Undirected,1
37,19,Undirected,1
56,19,Undirected,1
25,19,Undirected,1
43,37,Undirected,1
43,56,Undirected,1
43,25,Undirected,1
37,10,Undirected,1
56,10,Undirected,1
25,10,Undirected,1
37,60,Undirected,5
56,60,Undirected,5
25,60,Undirected,5
37,30,Undirected,3
56,30,Undirected,3
25,30,Undirected,3
37,9,Undirected,4
56,9,Undirected,4
25,9,Undirected,4
30,9,Undirected,2
37,36,Undirected,1
37,31,Undirected,3
56,36,Undirected,1
56,31,Undirected,3
25,36,Undirected,1
25,31,Undirected,3
30,36,Undirected,2
30,60,Undirected,1
30,31,Undirected,1
9,36,Undirected,1
9,60,Undirected,2
9,31,Undirected,2
36,60,Undirected,1
36,31,Undirected,1
60,31,Undirected,3
37,20,Undirected,3
37,68,Undirected,12
20,68,Undirected,2
56,23,Undirected,3
25,23,Undirected,3
37,52,Undirected,4
37,57,Undirected,5
68,52,Undirected,4
68,57,Undirected,5
68,25,Undirected,8
68,56,Undirected,8
52,57,Undirected,3
52,25,Undirected,4
52,56,Undirected,4
57,25,Undirected,4
57,56,Undirected,4
37,40,Undirected,4
37,70,Undirected,3
56,40,Undirected,3
56,70,Undirected,2
25,40,Undirected,3
25,70,Undirected,2
68,40,Undirected,4
68,70,Undirected,3
40,70,Undirected,3
57,23,Undirected,1
57,40,Undirected,2
23,40,Undirected,1
23,37,Undirected,2
23,68,Undirected,2
52,23,Undirected,2
57,70,Undirected,1
87,48,Undirected,2
29,48,Undirected,1
33,48,Undirected,1
56,4,Undirected,14
25,4,Undirected,14
4,87,Undirected,7
37,13,Undirected,5
37,83,Undirected,3
13,83,Undirected,2
37,12,Undirected,2
37,47,Undirected,2
13,12,Undirected,2
13,47,Undirected,2
12,47,Undirected,2
37,80,Undirected,1
37,49,Undirected,1
13,80,Undirected,1
13,49,Undirected,1
12,83,Undirected,1
12,80,Undirected,1
12,49,Undirected,1
47,83,Undirected,1
47,80,Undirected,1
47,49,Undirected,1
83,80,Undirected,1
83,49,Undirected,1
80,49,Undirected,1
33,58,Undirected,2
87,58,Undirected,1
37,14,Undirected,4
25,14,Undirected,5
56,14,Undirected,4
